LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
30,7366,3989,3118,3509,2908,4061,6004,3841,3969,3822,3183,3220,48990
31,5747,4608,5498,5806,5374,6133,6551,6113,5776,6174,5075,4662,67517
32,109575,71038,102368,107316,118515,112276,103821,119180,126268,116410,107652,99557,1293976
33,4434,4130,4783,4498,4114,5242,5927,5209,5082,5854,4867,4526,58666
34,7342,9131,8807,8745,6150,7706,8454,7992,7686,7512,6790,6395,92710
35,5584,6016,7670,7609,5599,6338,6974,6505,6293,6565,0,0,65153
36,7033,6415,7630,8498,6965,9180,10075,8749,8049,8280,7514,7151,95539
37,6377,5244,7066,6702,5129,6693,5943,5404,5605,6522,5922,5719,72326
38,4954,4162,5163,5651,4549,5902,6191,6781,4912,4892,4385,4379,61921
39,5715,4924,6060,6919,5621,6998,6634,6431,6710,6239,5334,5453,73038
40,6727,6487,7293,6432,6080,7133,6795,9025,8619,8340,7000,7917,87848
41,12072,9240,12128,12599,11415,14545,14271,13417,12660,12885,12277,12067,149576
42,10617,12258,13968,12624,8787,10904,10981,9984,10167,10057,9415,1634,121396
43,11184,9299,11558,12335,10137,13323,13019,11922,11509,12744,10396,10793,138219
44,12563,10172,12990,12807,10684,12720,13291,12774,12069,12937,11304,10766,145077
45,12754,11763,16444,13864,10589,12808,11562,11672,11835,12654,12796,10802,149543
46,9724,7836,9459,8679,8051,9391,10400,10287,10150,9525,8475,8139,110116
47,5244,4812,5198,5471,4920,5414,4778,4233,4991,5819,5783,4983,61646
48,8608,7004,8345,8170,6706,9638,11248,9930,6805,8168,5923,6559,97104
49,8404,9348,11007,10335,7552,8930,8757,9394,8899,9231,8029,8136,108022
50,6024,5368,6528,6330,5360,6713,7461,7534,7066,6891,5891,5824,76990
51,11037,9040,10965,11575,10256,13264,14152,13214,12424,13214,11024,11304,141469
52,5822,4780,6029,5261,5666,6543,6919,7243,5762,5568,4927,4658,69178
53,5187,4188,4918,5571,4327,6127,6370,6252,5845,6046,5038,5147,65016
54,10028,8958,10069,11752,9881,12054,11678,11828,10981,11127,10046,9539,127941
55,7012,6269,7931,7721,6311,8582,9104,7560,7248,7731,6348,5996,87813
56,6652,6829,9220,9553,6233,7734,8232,7388,7089,7532,6669,6350,89481
57,6226,4874,5792,5936,5080,6575,6919,6844,6001,5828,5292,5280,70647
58,4656,8297,10143,8285,4542,5569,6006,5281,4751,5389,4308,4290,71517
59,11735,11041,13999,14780,12205,15421,18123,14479,13938,15547,12890,13825,167983
60,7376,6124,8127,8173,6975,9234,9463,9084,8212,8681,7245,6343,95037
61,5004,5038,5305,6290,5110,5927,5685,5125,5072,6503,4853,4480,64392
62,4949,3562,6214,5704,5135,6284,7567,7968,6728,6018,5057,4914,70100
63,5875,5199,5685,6045,5557,7466,7174,9081,10067,11557,8888,7640,90234
64,9697,7623,8978,8997,8111,10096,10755,10740,9662,10059,8018,7572,110308
65,38043,28492,34046,37660,31829,37448,35780,40169,39527,46428,32175,35380,436977
66,9427,7513,9189,9886,5915,11143,12961,11104,9173,9571,8696,8262,112840
67,6250,7031,9488,10412,7626,11077,11644,9520,8519,10055,8676,8434,108732
68,11162,9560,11699,12071,11151,12690,12113,11898,12749,13188,11037,10614,139932
69,6775,5797,7574,7643,6160,7316,7170,6536,7416,9297,7103,6517,85304
70,4171,4343,5153,5135,4307,5401,4637,4169,4466,6185,5740,5047,58754
71,7637,7342,12172,13121,8249,10582,11337,10102,9900,9339,7641,8727,116149
72,6708,6179,6852,7052,5250,7034,7668,7317,6151,7065,6075,5702,79053
73,9119,8820,10792,10208,10303,15026,14234,14422,10117,10883,9308,9814,133046
74,6694,6075,6880,8242,6173,7827,8606,8242,8252,7888,7001,5935,87815
75,6823,6264,6552,9994,5682,6801,7496,7657,7610,7254,6285,6032,84450
76,10647,10487,11907,10842,9905,11455,12199,11311,11233,11926,10024,10680,132616
77,8239,8297,9932,9707,7282,8810,8384,8204,8393,8877,7412,6686,100223
78,21402,19486,27425,30405,25158,25459,27613,29815,27924,28684,25458,43013,331842
79,5600,5495,6611,6720,5233,6629,6438,5856,6991,6003,5647,5214,72437
